"","source","type","bp_length","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000115414.18","HAVANA","gene",17315,NA,"ENSG00000115414.18","protein_coding","FN1","2","OTTHUMG00000133054.6",NA,-11.520754987071,10.8593803185962,-126.575243103454,1.00855964177907e-11,3.2645058485105e-07,16.5441244958573
"ENSG00000130635.15","HAVANA","gene",11189,NA,"ENSG00000130635.15","protein_coding","COL5A1","1","OTTHUMG00000020891.4",NA,-7.84191825264477,8.30776356430909,-101.369604752356,3.93941441218417e-11,4.33005356302957e-07,15.4216137130705
"ENSG00000113140.10","HAVANA","gene",4831,NA,"ENSG00000113140.10","protein_coding","SPARC","1","OTTHUMG00000130122.4",NA,-4.67346114735962,10.5069183021038,-99.244135699529,4.48633064061076e-11,4.33005356302957e-07,16.3814366658403
"ENSG00000187498.14","HAVANA","gene",8188,NA,"ENSG00000187498.14","protein_coding","COL4A1","2","OTTHUMG00000017342.8","overlapping_locus",-9.10207307247422,7.97705354190924,-96.4334085593337,5.35103010755014e-11,4.33005356302957e-07,14.5935440223598
"ENSG00000038427.15","HAVANA","gene",14831,NA,"ENSG00000038427.15","protein_coding","VCAN","2","OTTHUMG00000131321.6",NA,-6.17861254108023,8.31665399985996,-89.4675900791214,8.47589221356638e-11,5.48695358337433e-07,15.3072815431739
"ENSG00000163430.11","HAVANA","gene",8727,NA,"ENSG00000163430.11","protein_coding","FSTL1","2","OTTHUMG00000159440.2","ncRNA_host",-7.25269097317769,7.77785355989882,-86.032764338033,1.07764167460865e-10,5.5577581210832e-07,14.7059377113914
"ENSG00000026025.15","HAVANA","gene",5158,NA,"ENSG00000026025.15","protein_coding","VIM","2","OTTHUMG00000017744.5",NA,-9.05045881851738,7.45060037035002,-80.8616557345748,1.57614525478578e-10,5.5577581210832e-07,13.6869827546241
"ENSG00000134871.17","HAVANA","gene",8706,NA,"ENSG00000134871.17","protein_coding","COL4A2","1","OTTHUMG00000017344.5","overlapping_locus",-7.11101440865025,8.50723589639187,-80.7576889766895,1.58863143812804e-10,5.5577581210832e-07,14.8100160083793
"ENSG00000142173.14","HAVANA","gene",5386,NA,"ENSG00000142173.14","protein_coding","COL6A2","2","OTTHUMG00000090489.6",NA,-4.90892275881919,8.71210949940848,-79.9056323222302,1.6954127008186e-10,5.5577581210832e-07,15.0052059824362
"ENSG00000124942.13","HAVANA","gene",19465,NA,"ENSG00000124942.13","protein_coding","AHNAK","1","OTTHUMG00000167558.6",NA,-4.18691188763611,9.31410792140095,-79.74055538885,1.71705329988977e-10,5.5577581210832e-07,15.1141436106244
"ENSG00000160072.19","HAVANA","gene",7682,NA,"ENSG00000160072.19","protein_coding","ATAD3B","2","OTTHUMG00000000577.5",NA,5.55269225764354,7.95225766449462,73.477881115572,2.83550674368137e-10,7.12796101284263e-07,14.4460056766098
"ENSG00000142798.17","HAVANA","gene",17684,NA,"ENSG00000142798.17","protein_coding","HSPG2","2","OTTHUMG00000002674.8",NA,-4.94968167032783,8.57141726303924,-73.4029725707573,2.85329765050915e-10,7.12796101284263e-07,14.5547098338171
"ENSG00000083857.13","HAVANA","gene",16177,NA,"ENSG00000083857.13","protein_coding","FAT1","1","OTTHUMG00000160320.9",NA,-5.37581111580594,7.82201532156546,-73.3631357059287,2.86281182547436e-10,7.12796101284263e-07,14.3773987681567
